timestamp, power.draw []
2023/11/20 16:28:41.408, 45.71 
2023/11/20 16:28:41.413, 45.71 
2023/11/20 16:28:41.419, 45.71 
2023/11/20 16:28:41.424, 45.71 
2023/11/20 16:28:41.429, 45.71 
2023/11/20 16:28:41.434, 45.71 
2023/11/20 16:28:41.439, 45.71 
2023/11/20 16:28:41.444, 48.58 
2023/11/20 16:28:41.449, 48.58 
2023/11/20 16:28:41.454, 48.58 
2023/11/20 16:28:41.459, 48.58 
2023/11/20 16:28:41.464, 48.58 
2023/11/20 16:28:41.470, 48.58 
2023/11/20 16:28:41.475, 48.58 
2023/11/20 16:28:41.480, 48.58 
2023/11/20 16:28:41.485, 48.58 
2023/11/20 16:28:41.490, 48.58 
2023/11/20 16:28:41.495, 48.58 
2023/11/20 16:28:41.500, 48.58 
2023/11/20 16:28:41.506, 48.58 
2023/11/20 16:28:41.511, 48.58 
2023/11/20 16:28:41.516, 48.58 
2023/11/20 16:28:41.521, 48.58 
2023/11/20 16:28:41.527, 48.58 
2023/11/20 16:28:41.532, 48.58 
2023/11/20 16:28:41.537, 48.58 
2023/11/20 16:28:41.542, 48.58 
2023/11/20 16:28:41.547, 50.11 
2023/11/20 16:28:41.552, 50.11 
2023/11/20 16:28:41.557, 50.11 
2023/11/20 16:28:41.562, 50.11 
2023/11/20 16:28:41.567, 50.11 
2023/11/20 16:28:41.572, 50.11 
2023/11/20 16:28:41.578, 50.11 
2023/11/20 16:28:41.583, 50.11 
2023/11/20 16:28:41.588, 50.11 
2023/11/20 16:28:41.593, 50.11 
2023/11/20 16:28:41.598, 50.11 
2023/11/20 16:28:41.603, 50.11 
2023/11/20 16:28:41.608, 50.11 
2023/11/20 16:28:41.613, 50.11 
2023/11/20 16:28:41.618, 50.11 
2023/11/20 16:28:41.623, 50.11 
2023/11/20 16:28:41.629, 50.11 
2023/11/20 16:28:41.634, 50.11 
2023/11/20 16:28:41.639, 50.11 
2023/11/20 16:28:41.645, 50.34 
2023/11/20 16:28:41.650, 50.34 
2023/11/20 16:28:41.655, 50.34 
2023/11/20 16:28:41.660, 50.34 
2023/11/20 16:28:41.665, 50.34 
2023/11/20 16:28:41.670, 50.34 
2023/11/20 16:28:41.676, 50.34 
2023/11/20 16:28:41.681, 50.34 
2023/11/20 16:28:41.686, 50.34 
2023/11/20 16:28:41.691, 50.34 
2023/11/20 16:28:41.696, 50.34 
2023/11/20 16:28:41.701, 50.34 
2023/11/20 16:28:41.706, 50.34 
2023/11/20 16:28:41.711, 50.34 
2023/11/20 16:28:41.717, 50.34 
2023/11/20 16:28:41.722, 50.34 
2023/11/20 16:28:41.727, 50.34 
2023/11/20 16:28:41.732, 50.34 
2023/11/20 16:28:41.737, 50.34 
2023/11/20 16:28:41.742, 50.34 
2023/11/20 16:28:41.747, 50.65 
2023/11/20 16:28:41.752, 50.65 
2023/11/20 16:28:41.757, 50.65 
2023/11/20 16:28:41.762, 50.65 
2023/11/20 16:28:41.768, 50.65 
2023/11/20 16:28:41.773, 50.65 
2023/11/20 16:28:41.778, 50.65 
2023/11/20 16:28:41.783, 50.65 
2023/11/20 16:28:41.788, 50.65 
2023/11/20 16:28:41.793, 50.65 
2023/11/20 16:28:41.798, 50.65 
2023/11/20 16:28:41.803, 50.65 
2023/11/20 16:28:41.809, 50.65 
2023/11/20 16:28:41.814, 50.65 
2023/11/20 16:28:41.819, 50.65 
2023/11/20 16:28:41.824, 50.65 
2023/11/20 16:28:41.829, 50.65 
2023/11/20 16:28:41.834, 50.65 
2023/11/20 16:28:41.839, 50.65 
2023/11/20 16:28:41.844, 50.85 
2023/11/20 16:28:41.849, 50.85 
2023/11/20 16:28:41.855, 50.85 
2023/11/20 16:28:41.860, 50.85 
2023/11/20 16:28:41.865, 50.85 
2023/11/20 16:28:41.870, 50.85 
2023/11/20 16:28:41.875, 50.85 
2023/11/20 16:28:41.880, 50.85 
2023/11/20 16:28:41.885, 50.85 
2023/11/20 16:28:41.890, 50.85 
2023/11/20 16:28:41.895, 50.85 
2023/11/20 16:28:41.901, 50.85 
2023/11/20 16:28:41.906, 50.85 
2023/11/20 16:28:41.911, 50.85 
2023/11/20 16:28:41.916, 50.85 
2023/11/20 16:28:41.921, 50.85 
2023/11/20 16:28:41.927, 50.85 
2023/11/20 16:28:41.932, 50.85 
